Title,url,item_price,item_cat,prod_url
"LINNEFORS-2-seat sofa-bed section, Remmarn grey-green-20542290",https://www.ikea.com.hk/dairyfarm/hk/images/159/1115932_PE872311_S4.webp,1499.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/linnefors-art-20542290
"HAMMARN-sofa-bed, Knisa dark grey/black-80361494",https://www.ikea.com.hk/dairyfarm/hk/images/190/0519027_PE641353_S4.webp,799.9,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/hammarn-art-80361494
"FRIHETEN-three-seat sofa-bed, Skiftebo dark grey-30341149",https://www.ikea.com.hk/dairyfarm/hk/images/255/0525504_PE644868_S4.webp,3999.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/friheten-art-30341149
"LYCKSELE LÖVÅS-chair-bed, Knisa light grey-49386977",https://www.ikea.com.hk/dairyfarm/hk/images/496/0949689_PE799948_S4.webp,1599.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/lycksele-lovas-spr-49386977
"LYCKSELE LÖVÅS-chair-bed, Tutstad multicolour-69280871",https://www.ikea.com.hk/dairyfarm/hk/images/496/0949695_PE799954_S4.webp,1599.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/lycksele-lovas-spr-69280871
"FRIHETEN-corner sofa-bed with storage, Skiftebo dark grey-9216755",https://www.ikea.com.hk/dairyfarm/hk/images/756/0175610_PE328883_S4.webp,4799.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/friheten-spr-09216755
"PÄRUP-2-seat sofa-bed, Gunnared beige-99389148",https://www.ikea.com.hk/dairyfarm/hk/images/501/0950156_PE800171_S4.webp,4699.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/parup-spr-99389148
"FRIHETEN-corner sofa-bed with storage, Bomstad black-29216820",https://www.ikea.com.hk/dairyfarm/hk/images/483/0248337_PE386785_S4.webp,5799.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/friheten-spr-29216820
"KIVIK-1-seat sofa-bed, Tibbleby beige/grey-19470232",https://www.ikea.com.hk/dairyfarm/hk/images/308/1130878_PE877951_S4.webp,3499.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/kivik-spr-19470232
"FRIHETEN-corner sofa-bed with storage, Skiftebo blue-9297558",https://www.ikea.com.hk/dairyfarm/hk/images/902/0690243_PE723167_S4.webp,4799.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/friheten-spr-09297558
